# [v2] word=geschenkcheques mask=(0, 3, 7, 9, 11, 12, 14) LB=2010 reserve=1 cap=1200.0 workers=20
# [v2] mask (0, 3, 7, 9, 11, 12, 14) main_const=1724 vfloor=286 (LB=2010)
# enumerating BLANK-AWARE band (nominal - deficit > 286) ...
    [enum] 50M nodes, 1003521 in band
    [enum] 100M nodes, 4907503 in band
    [enum] 150M nodes, 6576283 in band
# 6706022 combos in band (capped=False), collected 6706022; enum 2723s; 0 already in ledger
# ledger: 0 UNSAT, 0 SAT, 0 UNKNOWN, 0 ERROR already; 6706022 to test
  ... 40600/6706022 tested (8.40/s, ~220.4h left); undecided=0
  ... 40800/6706022 tested (8.41/s, ~220.2h left); undecided=0
  ... 41000/6706022 tested (8.40/s, ~220.4h left); undecided=0
  ... 41200/6706022 tested (8.39/s, ~220.6h left); undecided=0
  ... 41400/6706022 tested (8.40/s, ~220.5h left); undecided=0
  ... 41600/6706022 tested (8.41/s, ~220.2h left); undecided=0
  ... 41800/6706022 tested (8.42/s, ~219.8h left); undecided=0
  ... 42000/6706022 tested (8.44/s, ~219.3h left); undecided=0
  ... 42200/6706022 tested (8.45/s, ~219.0h left); undecided=0
  ... 42400/6706022 tested (8.46/s, ~218.7h left); undecided=0
  ... 42600/6706022 tested (8.48/s, ~218.3h left); undecided=0
  ... 42800/6706022 tested (8.48/s, ~218.4h left); undecided=0
  ... 43000/6706022 tested (8.47/s, ~218.6h left); undecided=0
  ... 43200/6706022 tested (8.45/s, ~218.9h left); undecided=0
  ... 43400/6706022 tested (8.46/s, ~218.8h left); undecided=0
  ... 43600/6706022 tested (8.46/s, ~218.7h left); undecided=0
  ... 43800/6706022 tested (8.48/s, ~218.3h left); undecided=0
  ... 44000/6706022 tested (8.50/s, ~217.8h left); undecided=0
  ... 44200/6706022 tested (8.51/s, ~217.4h left); undecided=0
  ... 44400/6706022 tested (8.53/s, ~216.9h left); undecided=0
  ... 44600/6706022 tested (8.55/s, ~216.4h left); undecided=0
  ... 44800/6706022 tested (8.56/s, ~216.1h left); undecided=0
  ... 45000/6706022 tested (8.57/s, ~215.9h left); undecided=0
  ... 45200/6706022 tested (8.58/s, ~215.7h left); undecided=0
  ... 45400/6706022 tested (8.58/s, ~215.7h left); undecided=0
  ... 45600/6706022 tested (8.55/s, ~216.3h left); undecided=0
  ... 45800/6706022 tested (8.54/s, ~216.6h left); undecided=0
  ... 46000/6706022 tested (8.52/s, ~217.1h left); undecided=0
  ... 46200/6706022 tested (8.51/s, ~217.4h left); undecided=0
  ... 46400/6706022 tested (8.51/s, ~217.5h left); undecided=0
  ... 46600/6706022 tested (8.51/s, ~217.3h left); undecided=0
  ... 46800/6706022 tested (8.52/s, ~217.0h left); undecided=0
  ... 47000/6706022 tested (8.54/s, ~216.7h left); undecided=0
  ... 47200/6706022 tested (8.55/s, ~216.4h left); undecided=0
  ... 47400/6706022 tested (8.57/s, ~215.9h left); undecided=0
  ... 47600/6706022 tested (8.58/s, ~215.6h left); undecided=0
  ... 47800/6706022 tested (8.59/s, ~215.2h left); undecided=0
  ... 48000/6706022 tested (8.60/s, ~214.9h left); undecided=0
  ... 48200/6706022 tested (8.61/s, ~214.8h left); undecided=0
  ... 48400/6706022 tested (8.62/s, ~214.5h left); undecided=0
  ... 48600/6706022 tested (8.64/s, ~214.1h left); undecided=0
  ... 48800/6706022 tested (8.65/s, ~213.8h left); undecided=0
  ... 49000/6706022 tested (8.66/s, ~213.6h left); undecided=0
  ... 49200/6706022 tested (8.66/s, ~213.5h left); undecided=0
  ... 49400/6706022 tested (8.67/s, ~213.3h left); undecided=0
  ... 49600/6706022 tested (8.68/s, ~213.1h left); undecided=0
  ... 49800/6706022 tested (8.69/s, ~212.8h left); undecided=0
  ... 50000/6706022 tested (8.70/s, ~212.5h left); undecided=0
  ... 50200/6706022 tested (8.71/s, ~212.2h left); undecided=0
  ... 50400/6706022 tested (8.73/s, ~211.8h left); undecided=0
  ... 50600/6706022 tested (8.74/s, ~211.5h left); undecided=0
  ... 50800/6706022 tested (8.75/s, ~211.2h left); undecided=0
  ... 51000/6706022 tested (8.77/s, ~210.8h left); undecided=0
  ... 51200/6706022 tested (8.78/s, ~210.5h left); undecided=0
  ... 51400/6706022 tested (8.80/s, ~210.1h left); undecided=0
  ... 51600/6706022 tested (8.79/s, ~210.4h left); undecided=0
  ... 51800/6706022 tested (8.79/s, ~210.2h left); undecided=0
  ... 52000/6706022 tested (8.80/s, ~210.1h left); undecided=0
  ... 52200/6706022 tested (8.81/s, ~209.8h left); undecided=0
  ... 52400/6706022 tested (8.81/s, ~209.7h left); undecided=0
  ... 52600/6706022 tested (8.82/s, ~209.5h left); undecided=0
  ... 52800/6706022 tested (8.83/s, ~209.3h left); undecided=0
  ... 53000/6706022 tested (8.84/s, ~208.9h left); undecided=0
  ... 53200/6706022 tested (8.85/s, ~208.8h left); undecided=0
  ... 53400/6706022 tested (8.86/s, ~208.5h left); undecided=0
  ... 53600/6706022 tested (8.87/s, ~208.2h left); undecided=0
  ... 53800/6706022 tested (8.89/s, ~207.9h left); undecided=0
  ... 54000/6706022 tested (8.90/s, ~207.6h left); undecided=0
  ... 54200/6706022 tested (8.91/s, ~207.3h left); undecided=0
  ... 54400/6706022 tested (8.93/s, ~207.0h left); undecided=0
  ... 54600/6706022 tested (8.94/s, ~206.6h left); undecided=0
  ... 54800/6706022 tested (8.95/s, ~206.4h left); undecided=0
  ... 55000/6706022 tested (8.97/s, ~206.1h left); undecided=0
  ... 55200/6706022 tested (8.98/s, ~205.7h left); undecided=0
  ... 55400/6706022 tested (8.99/s, ~205.5h left); undecided=0
  ... 55600/6706022 tested (9.00/s, ~205.3h left); undecided=0
  ... 55800/6706022 tested (9.00/s, ~205.2h left); undecided=0
  ... 56000/6706022 tested (9.01/s, ~205.0h left); undecided=0
  ... 56200/6706022 tested (9.02/s, ~204.8h left); undecided=0
  ... 56400/6706022 tested (9.03/s, ~204.5h left); undecided=0
  ... 56600/6706022 tested (9.04/s, ~204.4h left); undecided=0
  ... 56800/6706022 tested (9.05/s, ~204.2h left); undecided=0
  ... 57000/6706022 tested (9.06/s, ~204.0h left); undecided=0
  ... 57200/6706022 tested (9.07/s, ~203.6h left); undecided=0
  ... 57400/6706022 tested (9.08/s, ~203.4h left); undecided=0
  ... 57600/6706022 tested (9.09/s, ~203.2h left); undecided=0
  ... 57800/6706022 tested (9.10/s, ~203.0h left); undecided=0
  ... 58000/6706022 tested (9.10/s, ~203.0h left); undecided=0
  ... 58200/6706022 tested (9.10/s, ~202.9h left); undecided=0
  ... 58400/6706022 tested (9.09/s, ~203.1h left); undecided=0
  ... 58600/6706022 tested (9.09/s, ~203.1h left); undecided=0
  ... 58800/6706022 tested (9.09/s, ~203.2h left); undecided=0
  ... 59000/6706022 tested (9.09/s, ~203.1h left); undecided=0
  ... 59200/6706022 tested (9.09/s, ~203.1h left); undecided=0
  ... 59400/6706022 tested (9.10/s, ~203.0h left); undecided=0
  ... 59600/6706022 tested (9.10/s, ~202.9h left); undecided=0
  ... 59800/6706022 tested (9.11/s, ~202.6h left); undecided=0
  ... 60000/6706022 tested (9.12/s, ~202.5h left); undecided=0
  ... 60200/6706022 tested (9.12/s, ~202.5h left); undecided=0
  ... 60400/6706022 tested (9.12/s, ~202.4h left); undecided=0
  ... 60600/6706022 tested (9.12/s, ~202.4h left); undecided=0
  ... 60800/6706022 tested (9.12/s, ~202.4h left); undecided=0
  ... 61000/6706022 tested (9.12/s, ~202.4h left); undecided=0
  ... 61200/6706022 tested (9.12/s, ~202.5h left); undecided=0
  ... 61400/6706022 tested (9.12/s, ~202.5h left); undecided=0
  ... 61600/6706022 tested (9.12/s, ~202.4h left); undecided=0
  ... 61800/6706022 tested (9.12/s, ~202.3h left); undecided=0
  ... 62000/6706022 tested (9.13/s, ~202.2h left); undecided=0
  ... 62200/6706022 tested (9.13/s, ~202.2h left); undecided=0
  ... 62400/6706022 tested (9.13/s, ~202.2h left); undecided=0
  ... 62600/6706022 tested (9.13/s, ~202.1h left); undecided=0
  ... 62800/6706022 tested (9.14/s, ~201.9h left); undecided=0
  ... 63000/6706022 tested (9.15/s, ~201.7h left); undecided=0
  ... 63200/6706022 tested (9.15/s, ~201.6h left); undecided=0
  ... 63400/6706022 tested (9.16/s, ~201.4h left); undecided=0
  ... 63600/6706022 tested (9.17/s, ~201.2h left); undecided=0
  ... 63800/6706022 tested (9.18/s, ~201.1h left); undecided=0
  ... 64000/6706022 tested (9.17/s, ~201.1h left); undecided=0
  ... 64200/6706022 tested (9.18/s, ~201.0h left); undecided=0
  ... 64400/6706022 tested (9.17/s, ~201.1h left); undecided=0
  ... 64600/6706022 tested (9.17/s, ~201.1h left); undecided=0
  ... 64800/6706022 tested (9.18/s, ~200.9h left); undecided=0
  ... 65000/6706022 tested (9.18/s, ~200.9h left); undecided=0
  ... 65200/6706022 tested (9.18/s, ~200.9h left); undecided=0
  ... 65400/6706022 tested (9.18/s, ~200.9h left); undecided=0
  ... 65600/6706022 tested (9.19/s, ~200.8h left); undecided=0
  ... 65800/6706022 tested (9.19/s, ~200.8h left); undecided=0
  ... 66000/6706022 tested (9.18/s, ~200.8h left); undecided=0
  ... 66200/6706022 tested (9.19/s, ~200.6h left); undecided=0
  ... 66400/6706022 tested (9.20/s, ~200.4h left); undecided=0
  ... 66600/6706022 tested (9.21/s, ~200.2h left); undecided=0
  ... 66800/6706022 tested (9.22/s, ~200.0h left); undecided=0
  ... 67000/6706022 tested (9.22/s, ~199.9h left); undecided=0
  ... 67200/6706022 tested (9.23/s, ~199.8h left); undecided=0
  ... 67400/6706022 tested (9.24/s, ~199.6h left); undecided=0
  ... 67600/6706022 tested (9.24/s, ~199.5h left); undecided=0
  ... 67800/6706022 tested (9.25/s, ~199.4h left); undecided=0
  ... 68000/6706022 tested (9.25/s, ~199.3h left); undecided=0
  ... 68200/6706022 tested (9.26/s, ~199.2h left); undecided=0
  ... 68400/6706022 tested (9.26/s, ~199.1h left); undecided=0
  ... 68600/6706022 tested (9.26/s, ~199.0h left); undecided=0
  ... 68800/6706022 tested (9.27/s, ~198.8h left); undecided=0
  ... 69000/6706022 tested (9.28/s, ~198.7h left); undecided=0
  ... 69200/6706022 tested (9.29/s, ~198.4h left); undecided=0
  ... 69400/6706022 tested (9.29/s, ~198.5h left); undecided=0
  ... 69600/6706022 tested (9.29/s, ~198.5h left); undecided=0
  ... 69800/6706022 tested (9.29/s, ~198.4h left); undecided=0
  ... 70000/6706022 tested (9.30/s, ~198.3h left); undecided=0
  ... 70200/6706022 tested (9.30/s, ~198.2h left); undecided=0
  ... 70400/6706022 tested (9.30/s, ~198.1h left); undecided=0
  ... 70600/6706022 tested (9.31/s, ~197.9h left); undecided=0
  ... 70800/6706022 tested (9.32/s, ~197.8h left); undecided=0
  ... 71000/6706022 tested (9.32/s, ~197.7h left); undecided=0
  ... 71200/6706022 tested (9.33/s, ~197.6h left); undecided=0
  ... 71400/6706022 tested (9.33/s, ~197.4h left); undecided=0
  ... 71600/6706022 tested (9.34/s, ~197.4h left); undecided=0
  ... 71800/6706022 tested (9.34/s, ~197.4h left); undecided=0
  ... 72000/6706022 tested (9.33/s, ~197.4h left); undecided=0
  ... 72200/6706022 tested (9.33/s, ~197.4h left); undecided=0
  ... 72400/6706022 tested (9.34/s, ~197.3h left); undecided=0
  ... 72600/6706022 tested (9.34/s, ~197.3h left); undecided=0
  ... 72800/6706022 tested (9.35/s, ~197.1h left); undecided=0
  ... 73000/6706022 tested (9.36/s, ~196.9h left); undecided=0
  ... 73200/6706022 tested (9.36/s, ~196.9h left); undecided=0
  ... 73400/6706022 tested (9.36/s, ~196.8h left); undecided=0
  ... 73600/6706022 tested (9.36/s, ~196.8h left); undecided=0
  ... 73800/6706022 tested (9.36/s, ~196.9h left); undecided=0
