# [v2] word=geschenkcheques mask=(0, 3, 7, 8, 11, 13, 14) LB=2010 reserve=1 cap=1200.0 workers=20
# [v2] mask (0, 3, 7, 8, 11, 13, 14) main_const=1724 vfloor=286 (LB=2010)
# enumerating BLANK-AWARE band (nominal - deficit > 286) ...
    [enum] 50M nodes, 3007998 in band
# 3063175 combos in band (capped=False), collected 3063175; enum 517s; 0 already in ledger
# ledger: 0 UNSAT, 0 SAT, 0 UNKNOWN, 0 ERROR already; 3063175 to test
# engine=pinbatch base=/home/bob/programming/scrabble4/experiments/results/oracle_parallel/base_0_3_7_8_11_13_14.txt PINWALL=5s audit=1/1000
  ... 68200/3063175 tested (2756.04/s, ~0.3h left); undecided=0
  ... 68400/3063175 tested (2763.89/s, ~0.3h left); undecided=0
  ... 68600/3063175 tested (2771.69/s, ~0.3h left); undecided=0
  ... 68800/3063175 tested (2779.53/s, ~0.3h left); undecided=0
  ... 69000/3063175 tested (2787.35/s, ~0.3h left); undecided=0
  ... 69200/3063175 tested (2795.18/s, ~0.3h left); undecided=0
  ... 69400/3063175 tested (2802.90/s, ~0.3h left); undecided=0
  ... 69600/3063175 tested (2810.42/s, ~0.3h left); undecided=0
  ... 69800/3063175 tested (2818.18/s, ~0.3h left); undecided=0
  ... 70000/3063175 tested (2825.73/s, ~0.3h left); undecided=0
  ... 70200/3063175 tested (2833.06/s, ~0.3h left); undecided=0
  ... 70400/3063175 tested (2839.43/s, ~0.3h left); undecided=0
  ... 70600/3063175 tested (2846.39/s, ~0.3h left); undecided=0
  ... 70800/3063175 tested (2853.72/s, ~0.3h left); undecided=0
  ... 71000/3063175 tested (2861.08/s, ~0.3h left); undecided=0
  ... 71200/3063175 tested (2868.54/s, ~0.3h left); undecided=0
