# N=13 left-block {0..6} candidate ranking  (optimistic total = main + vert)
# WM=9 wm0=[3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3] lm0=[1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1]
# opt_total   main   vert  word
        728    437    291  privacygevolg
        728    437    291  pachydermpjes
        728    437    291  mythologischt
        728    437    291  methylalcohol
        728    437    291  lymfecelletje
        728    437    291  lymfeachtigst
        728    437    291  lymfachtigste
        728    437    291  lymfachtigers
        728    437    291  kuifhyacintje
        728    437    291  ijshockeyveld
        728    437    291  grizzlywelpen
        728    437    291  golfcommunity
        728    437    291  excuustekstje
        728    437    291  excuusmoslims
        728    437    291  excuusgesprek
        728    437    291  cystoscopisch
        728    437    291  couveusebabys
        728    428    300  zwijgfilmpjes
        728    428    300  zwaveligzuurs
        728    428    300  zesjescultuur
        728    428    300  zelfzuchtiger
        728    428    300  verzamelzucht
        728    428    300  vacuumpompjes
        728    428    300  vacuumlampjes
        728    428    300  vacuumflesjes
        728    428    300  vacuumbuisjes
        728    428    300  structuurverf
        728    428    300  schuurlijstje
        728    428    300  schutvullings
        728    428    300  schurftmijtje
        728    428    300  schuifluikjes
        728    428    300  schuifgijkjes
        728    428    300  schubvormpjes
        728    428    300  puzzeltochtje
        728    428    300  pufferjackjes
        728    428    300  luchtmijltjes
        728    428    300  luchtbreukjes
        728    428    300  krijgszuchtig
        728    428    300  koffiecultuur
        728    428    300  kijfzuchtiger
        728    428    300  kalfsschijfje
        728    428    300  jazzcolumnpje
        728    428    300  jachtverblijf
        728    428    300  homunculusjes
        728    428    300  herfstluchtje
        728    428    300  grauwvuurtjes
        728    428    300  glijschuifjes
        728    428    300  cliffjumpster
        728    428    300  cijferpuzzels
        728    428    300  buffermachtje
        728    428    300  blijfvrouwtje
        728    428    300  babyborreltje
        727    446    281  carboxylgroep
        727    437    290  zweefvluchtje
        727    437    290  yuppiewijkjes
        727    437    290  yuppenwijkjes
        727    437    290  stypticumpjes
        727    437    290  segwayachtigs
        727    437    290  rugbydwergjes
        727    437    290  psychometrici
        727    437    290  psychometrica
        727    437    290  psychoactieve
        727    437    290  jeugdpsychose
        727    437    290  hobbycomputer
        727    437    290  collyriumpjes
        727    437    290  bomcycloontje
        727    437    290  baywatchsters
        727    428    299  zwichtlijntje
        727    428    299  vruchtwandjes
        727    428    299  vruchtscheden
        727    428    299  vruchtenbowls
        727    428    299  vouwschaaltje
        727    428    299  vlugschriftje
        727    428    299  vlechtwerkjes
        727    428    299  uurwerkachtig
        727    428    299  succumbentjes
        727    428    299  successtukjes
        727    428    299  succesformule
        727    428    299  stuwschroefje
        727    428    299  stuwkrachtjes
        727    428    299  specificumpje
        727    428    299  shockeffectje
        727    428    299  rouwklachtjes
        727    428    299  prachtwijkjes
        727    428    299  plucheachtige
        727    428    299  plichtsbewust
        727    428    299  plichtbewusts
        727    428    299  peulvruchtjes
        727    428    299  mysteryguests
        727    428    299  lunchwijntjes
        727    428    299  krukschijfjes
        727    428    299  krachtwijkjes
        727    428    299  klachtrechtje
        727    428    299  ketchupflacon
        727    428    299  hydrolysetjes
        727    428    299  hulpschrijver
        727    428    299  hulpschermpje
        727    428    299  hekwerkwijkje
        727    428    299  grachtgezicht
        727    428    299  fluweelzwarts
        727    428    299  fluweelachtig
        727    428    299  duikvluchtjes
        727    428    299  cultuurscouts
        727    428    299  coachdebuutje
        727    428    299  clickfarmpjes
        727    428    299  citruscultuur
        727    428    299  circuspubliek
        727    428    299  chocolamuffin
        727    428    299  chocolajunkje
        727    428    299  calcudokutjes
        727    428    299  burchtachtige
        727    428    299  bouwwijzetjes
        727    428    299  bouwvakschool
        727    428    299  bouwopschrift
        727    428    299  bouwambachtje
